Name,Type,Alignment,Armor Class,HP,Speed,Str,Dex,Con,Int,Wis,Cha,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,Senses,Languages,Challenge,Traits,Actions,Legendary Actions,Intro,MetaTitle,MetaDescription,Source
Giant Vulture,Large beast,Neutral Evil,10,22 (3d10 + 6),"10ft., fly 60ft.",15,10,15,6,12,7,None,perception: +3,None,None,None,None,passive perception 13,"""understands Common but cant speak""",1,"
Keen Sight and Smell: The vulture has advantage on Wisdom (Perception) checks that rely on sight or smell.
Pack Tactics: The vulture has advantage on an attack roll against a creature if at least one of the vulture's allies is within 5 feet of the creature and the ally isn't incapacitated.","
Multiattack: The vulture makes two attacks: one with its beak and one with its talons.
Beak: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage.
Talons: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.",None,not in this JSON,Giant Vulture - Monsters | DnD Wiki,"Giant Vulture is a CR 1, Neutral Evil, beast, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Giant Wasp,Medium beast,Unaligned,12,13 (3d8),"10ft., fly 50ft.",10,14,10,1,10,3,None,None,None,None,None,None,passive perception 10,error,1/2,error,"
Sting: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) piercing damage, and the target must make a DC: 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.",None,not in this JSON,Giant Wasp - Monsters | DnD Wiki,"Giant Wasp is a CR 1/2, Unaligned, beast, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Giant Weasel,Medium beast,Unaligned,13,9 (2d8),40ft.,11,16,10,4,12,5,None,"perception: +3, stealth: +5",None,None,None,None,"darkvision 60 ft., passive perception 13",error,1/8,"
Keen Hearing and Smell: The weasel has advantage on Wisdom (Perception) checks that rely on hearing or smell.","
Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 5 (1d4 + 3) piercing damage.",None,not in this JSON,Giant Weasel - Monsters | DnD Wiki,"Giant Weasel is a CR 1/8, Unaligned, beast, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Giant Wolf Spider,Medium beast,Unaligned,13,11 (2d8 + 2),40ft.,12,16,13,3,12,4,None,"perception: +3, stealth: +7",None,None,None,None,"blindsight 10 ft., darkvision 60 ft., passive perception 13",error,1/4,"
Spider Climb: The spider can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.
Web Sense: While in contact with a web, the spider knows the exact location of any other creature in contact with the same web.
Web Walker: The spider ignores movement restrictions caused by webbing.","
Bite: Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 4 (1d6 + 1) piercing damage, and the target must make a DC: 11 Constitution saving throw, taking 7 (2d6) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but poisoned for 1 hour, even after regaining hit points, and is paralyzed while poisoned in this way.",None,not in this JSON,Giant Wolf Spider - Monsters | DnD Wiki,"Giant Wolf Spider is a CR 1/4, Unaligned, beast, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Gibbering Mouther,Medium aberration,Neutral,9,67 (9d8 + 27),"10ft., swim 10ft.",10,8,16,3,10,6,None,None,None,None,None,prone,"darkvision 60 ft., passive perception 10",error,2,"
Aberrant Ground: The ground in a 10-foot radius around the mouther is doughlike difficult terrain. Each creature that starts its turn in that area must succeed on a {@dc 10 Strength saving throw or have its speed reduced to 0 until the start of its next turn.
Gibbering: The mouther babbles incoherently while it can see any creature and isn't incapacitated. Each creature that starts its turn within 20 feet of the mouther and can hear the gibbering must succeed on a {@dc 10 Wisdom saving throw. On a failure, the creature can't take reactions until the start of its next turn and rolls a d8 to determine what it does during its turn. On a 1 to 4, the creature does nothing. On a 5 or 6, the creature takes no action or bonus action and uses all its movement to move in a randomly determined direction. On a 7 or 8, the creature makes a melee attack against a randomly determined creature within its reach or does nothing if it can't make such an attack.","
Multiattack: The gibbering mouther makes one bite attack and, if it can, uses its Blinding Spittle.
Bites: Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 17 (5d6) piercing damage. If the target is Medium or smaller, it must succeed on a DC: 10 Strength saving throw or be knocked prone. If the target is killed by this damage, it is absorbed into the mouther.
Blinding Spittle  - Recharge  5: The mouther spits a chemical glob at a point it can see within 15 feet of it. The glob explodes in a blinding flash of light on impact. Each creature within 5 feet of the flash must succeed on a DC: 13 Dexterity saving throw or be blinded until the end of the mouther's next turn.",None,not in this JSON,Gibbering Mouther - Monsters | DnD Wiki,"Gibbering Mouther is a CR 2, Neutral, aberration, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Githyanki Knight,Medium humanoid,Lawful Evil,18 ( plate armor),91 (14d8 + 28),30ft.,16,14,15,14,14,15,"Con: +5, Int: +5, Wis: +5",None,None,None,None,None,passive perception 12,Gith,8,error,"
Multiattack: The githyanki makes two silver greatsword attacks.
Silver Greatsword: Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 13 (2d6 + 6) slashing damage plus 10 (3d6) psychic damage. This is a magic weapon attack. On a critical hit against a target in an astral body (as with the astral projection spell), the githyanki can cut the silvery cord that tethers the target to its material body, instead of dealing damage.",None,not in this JSON,Githyanki Knight - Monsters | DnD Wiki,"Githyanki Knight is a CR 8, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Githyanki Warrior,Medium humanoid,Lawful Evil,17 ( half plate armor),49 (9d8 + 9),30ft.,15,14,12,13,13,10,"Con: +3, Int: +3, Wis: +3",None,None,None,None,None,passive perception 11,Gith,3,error,"
Multiattack: The githyanki makes two greatsword attacks.
Greatsword: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage plus 7 (2d6) psychic damage.",None,not in this JSON,Githyanki Warrior - Monsters | DnD Wiki,"Githyanki Warrior is a CR 3, Lawful Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Githzerai Monk,Medium humanoid,Lawful Neutral,14,38 (7d8 + 7),30ft.,12,15,12,13,14,10,"Str: +3, Dex: +4, Int: +3, Wis: +4","insight: +4, perception: +4",None,None,None,None,passive perception 14,Gith,2,"
Psychic Defense: While the githzerai is wearing no armor and wielding no shield, its AC includes its Wisdom modifier.","
Multiattack: The githzerai makes two unarmed strikes.
Unarmed Strike: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) bludgeoning damage plus 9 (2d8) psychic damage. This is a magic weapon attack.",None,not in this JSON,Githzerai Monk - Monsters | DnD Wiki,"Githzerai Monk is a CR 2, Lawful Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Githzerai Zerth,Medium humanoid,Lawful Neutral,17,84 (13d8 + 26),30ft.,13,18,15,16,17,12,"Str: +4, Dex: +7, Int: +6, Wis: +6","arcana: +6, insight: +6, perception: +6",None,None,None,None,passive perception 16,Gith,6,"
Psychic Defense: While the githzerai is wearing no armor and wielding no shield, its AC includes its Wisdom modifier.","
Multiattack: The githzerai makes two unarmed strikes.
Unarmed Strike: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage plus 13 (3d8) psychic damage. This is a magic weapon attack.",None,not in this JSON,Githzerai Zerth - Monsters | DnD Wiki,"Githzerai Zerth is a CR 6, Lawful Neutral, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Glabrezu,Large fiend,Chaotic Evil,17 (natural armor),157 (15d10 + 75),40ft.,20,15,21,19,17,16,"Str: +9, Con: +9, Wis: +7, Cha: +7",None,None,"cold, fire, lightning; and bludgeoning, piercing and slashing from nonmagical attacks",poison,poisoned,"truesight 120 ft., passive perception 13","Abyssal, telepathy 120 ft.",9,"
Magic Resistance: The glabrezu has advantage on saving throws against spells and other magical effects.","
Multiattack: The glabrezu makes four attacks: two with its pincers and two with its fists. Alternatively, it makes two attacks with its pincers and casts one spell.
Pincer: Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: 16 (2d10 + 5) bludgeoning damage. If the target is a Medium or smaller creature, it is grappled (escape DC: 15). The glabrezu has two pincers, each of which can grapple only one target.
Fist: Melee Weapon Attack: +9 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) bludgeoning damage.",None,not in this JSON,Glabrezu - Monsters | DnD Wiki,"Glabrezu is a CR 9, Chaotic Evil, fiend, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Gladiator,Medium humanoid,Any Alignment,16 ( studded leather armor),112 (15d8 + 45),30ft.,18,15,16,10,12,15,"Str: +7, Dex: +5, Con: +6","athletics: +10, intimidation: +5",None,None,None,None,passive perception 11,any one language (usually Common),5,"
Brave: The gladiator has advantage on saving throws against being frightened.
Brute: A melee weapon deals one extra die of its damage when the gladiator hits with it (included in the attack).","
Multiattack: The gladiator makes three melee attacks or two ranged attacks.
Spear: Melee or Ranged Weapon Attack: ++7 to hit, reach 5 ft. and range 20/60 ft., one target. Hit: 11 (2d6 + 4) piercing damage, or 13 (2d8 + 4) piercing damage if used with two hands to make a melee attack.
Shield Bash: Melee Weapon Attack: +7 to hit, reach 5 ft., one creature. Hit: 9 (2d4 + 4) bludgeoning damage. If the target is a Medium or smaller creature, it must succeed on a DC: 15 Strength saving throw or be knocked prone.",None,not in this JSON,Gladiator - Monsters | DnD Wiki,"Gladiator is a CR 5, Any Alignment, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Gnoll,Medium humanoid,Chaotic Evil,15 ( hide armor),22 (5d8),30ft.,14,12,11,6,10,7,None,None,None,None,None,None,"darkvision 60 ft., passive perception 10",Gnoll,1/2,"
Rampage: When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack.","
Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 4 (1d4 + 2) piercing damage.
Spear: Melee or Ranged Weapon Attack: ++4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if used with two hands to make a melee attack.
Longbow: Ranged Weapon Attack: +3 to hit, range 150/600 ft., one target. Hit: 5 (1d8 + 1) piercing damage.",None,not in this JSON,Gnoll - Monsters | DnD Wiki,"Gnoll is a CR 1/2, Chaotic Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Gnoll Fang of Yeenoghu,Medium fiend,Chaotic Evil,14 ( hide armor),65 (10d8 + 20),30ft.,17,15,15,10,11,13,"Con: +4, Wis: +2, Cha: +3",None,None,None,None,None,"darkvision 60 ft., passive perception 10","Abyssal, Gnoll",4,"
Rampage: When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack.","
Multiattack: The gnoll makes three attacks: one with its bite and two with its claws.
Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d6 + 3) piercing damage, and the target must succeed on a DC: 12 Constitution saving throw or take 7 (2d6) poison damage.
Claw: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.",None,not in this JSON,Gnoll Fang of Yeenoghu - Monsters | DnD Wiki,"Gnoll Fang of Yeenoghu is a CR 4, Chaotic Evil, fiend, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Gnoll Pack Lord,Medium humanoid,Chaotic Evil,15 ( chain shirt),49 (9d8 + 9),30ft.,16,14,13,8,11,9,None,None,None,None,None,None,"darkvision 60 ft., passive perception 10",Gnoll,2,"
Rampage: When the gnoll reduces a creature to 0 hit points with a melee attack on its turn, the gnoll can take a bonus action to move up to half its speed and make a bite attack.","
Multiattack: The gnoll makes two attacks, either with its glaive or its longbow, and uses its Incite Rampage if it can.
Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 5 (1d4 + 3) piercing damage.
Glaive: Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 8 (1d10 + 3) slashing damage.
Longbow: Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.
Incite Rampage  - Recharge  5: One creature the gnoll can see within 30 feet of it can use its reaction to make a melee attack if it can hear the gnoll and has the Rampage trait.",None,not in this JSON,Gnoll Pack Lord - Monsters | DnD Wiki,"Gnoll Pack Lord is a CR 2, Chaotic Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Goat,Medium beast,Unaligned,10,4 (1d8),40ft.,12,10,11,2,10,5,None,None,None,None,None,None,passive perception 10,error,0,"
Charge: If the goat moves at least 20 ft. straight toward a target and then hits it with a ram attack on the same turn, the target takes an extra 2 (1d4) bludgeoning damage. If the target is a creature, it must succeed on a {@dc 10 Strength saving throw or be knocked prone.
Sure-Footed: The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.","
Ram: Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.",None,not in this JSON,Goat - Monsters | DnD Wiki,"Goat is a CR 0, Unaligned, beast, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Goblin,Small humanoid,Neutral Evil,15 ( leather armor),7 (2d6),30ft.,8,14,10,10,8,8,None,stealth: +6,None,None,None,None,"darkvision 60 ft., passive perception 9","Common, Goblin",1/4,"
Nimble Escape: The goblin can take the Disengage or Hide action as a bonus action on each of its turns.","
Scimitar: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.
Shortbow: Ranged Weapon Attack: +4 to hit, range 80/320 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",None,not in this JSON,Goblin - Monsters | DnD Wiki,"Goblin is a CR 1/4, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Goblin Boss,Small humanoid,Neutral Evil,17 ( chain shirt),21 (6d6),30ft.,10,14,10,10,8,10,None,stealth: +6,None,None,None,None,"darkvision 60 ft., passive perception 9","Common, Goblin",1,"
Nimble Escape: The goblin can take the Disengage or Hide action as a bonus action on each of its turns.","
Multiattack: The goblin makes two attacks with its scimitar. The second attack has disadvantage.
Scimitar: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.
Javelin: Melee or Ranged Weapon Attack: ++2 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 3 (1d6) piercing damage.",None,not in this JSON,Goblin Boss - Monsters | DnD Wiki,"Goblin Boss is a CR 1, Neutral Evil, humanoid, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Gold Dragon Wyrmling,Medium dragon,Lawful Good,17 (natural armor),60 (8d8 + 24),"30ft., fly 60ft., swim 30ft.",19,14,17,14,11,16,"Dex: +4, Con: +5, Wis: +2, Cha: +5","perception: +4, stealth: +4",None,None,fire,None,"blindsight 10 ft., darkvision 60 ft., passive perception 14",Draconic,3,"
Amphibious: The dragon can breathe air and water.","
Bite: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) piercing damage.
Breath Weapons  - Recharge  5: The dragon uses one of the following breath weapons.",None,not in this JSON,Gold Dragon Wyrmling - Monsters | DnD Wiki,"Gold Dragon Wyrmling is a CR 3, Lawful Good, dragon, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Gorgon,Large monstrosity,Unaligned,19 (natural armor),114 (12d10 + 48),40ft.,20,11,18,2,12,7,None,perception: +4,None,None,None,petrified,"darkvision 60 ft., passive perception 14",error,5,"
Trampling Charge: If the gorgon moves at least 20 feet straight toward a creature and then hits it with a gore attack on the same turn, that target must succeed on a {@dc 16 Strength saving throw or be knocked prone. If the target is prone, the gorgon can make one attack with its hooves against it as a bonus action.","
Gore: Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 18 (2d12 + 5) piercing damage.
Hooves: Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 16 (2d10 + 5) bludgeoning damage.
Petrifying Breath  - Recharge  5: The gorgon exhales petrifying gas in a 30-foot cone. Each creature in that area must succeed on a DC: 13 Constitution saving throw. On a failed save, a target begins to turn to stone and is restrained. The restrained target must repeat the saving throw at the end of its next turn. On a success, the effect ends on the target. On a failure, the target is petrified until freed by the  greater restoration spell or other magic.",None,not in this JSON,Gorgon - Monsters | DnD Wiki,"Gorgon is a CR 5, Unaligned, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Goristro,Huge fiend,Chaotic Evil,19 (natural armor),310 (23d12 + 161),40ft.,25,11,25,6,13,14,"Str: +13, Dex: +6, Con: +13, Wis: +7",perception: +7,None,"cold, fire, lightning; and bludgeoning, piercing and slashing from nonmagical attacks",poison,poisoned,"darkvision 120 ft., passive perception 17",Abyssal,17,"
Charge: If the goristro moves at least 15 feet straight toward a target and then hits it with a gore attack on the same turn, the target takes an extra 38 (7d10) piercing damage. If the target is a creature, it must succeed on a {@dc 21 Strength saving throw or be pushed up to 20 feet away and knocked prone.
Labyrinthine Recall: The goristro can perfectly recall any path it has traveled.
Magic Resistance: The goristro has advantage on saving throws against spells and other magical effects.
Siege Monster: The goristro deals double damage to objects and structures.","
Multiattack: The goristro makes three attacks: two with its fists and one with its hoof.
Fist: Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 20 (3d8 + 7) bludgeoning damage.
Hoof: Melee Weapon Attack: +13 to hit, reach 5 ft., one target. Hit: 23 (3d10 + 7) bludgeoning damage. If the target is a creature, it must succeed on a DC: 21 Strength saving throw or be knocked prone.
Gore: Melee Weapon Attack: +13 to hit, reach 10 ft., one target. Hit: 45 (7d10 + 7) piercing damage.",None,not in this JSON,Goristro - Monsters | DnD Wiki,"Goristro is a CR 17, Chaotic Evil, fiend, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Gray Ooze,Medium ooze,Unaligned,8,22 (3d8 + 9),10ft.,12,6,16,1,6,2,None,stealth: +2,None,"acid, cold, fire",None,"blinded, charmed, deafened, exhaustion, frightened, prone","blindsight 60 ft. (blind beyond this radius), passive perception 8",error,1/2,"
Amorphous: The ooze can move through a space as narrow as 1 inch wide without squeezing.
Corrode Metal: Any nonmagical weapon made of metal that hits the ooze corrodes. After dealing damage, the weapon takes a permanent and cumulative −1 penalty to damage rolls. If its penalty drops to −5, the weapon is destroyed. Nonmagical ammunition made of metal that hits the ooze is destroyed after dealing damage.
False Appearance: While the ooze remains motionless, it is indistinguishable from an oily pool or wet rock.","
Pseudopod: Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 4 (1d6 + 1) bludgeoning damage plus 7 (2d6) acid damage, and if the target is wearing nonmagical metal armor, its armor is partly corroded and takes a permanent and cumulative −1 penalty to the AC it offers. The armor is destroyed if the penalty reduces its AC to 10.",None,not in this JSON,Gray Ooze - Monsters | DnD Wiki,"Gray Ooze is a CR 1/2, Unaligned, ooze, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Gray Slaad,Medium aberration,Chaotic Neutral,18 (natural armor),127 (17d8 + 51),30ft.,17,17,16,13,8,14,None,"arcana: +5, perception: +7",None,"acid, cold, fire, lightning, thunder",None,None,"blindsight 60 ft., darkvision 60 ft., passive perception 17","Slaad, telepathy 60 ft.",9,"
Shapechanger: The slaad can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.
Magic Resistance: The slaad has advantage on saving throws against spells and other magical effects.
Magic Weapons: The slaad's weapon attacks are magical.
Regeneration: The slaad regains 10 hit points at the start of its turn if it has at least 1 hit point.","
Multiattack: The slaad makes three attacks: one with its bite and two with its claws or greatsword.
Bite (Slaad Form Only): Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.
Claws (Slaad Form Only): Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) slashing damage.
Greatsword: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.",None,not in this JSON,Gray Slaad - Monsters | DnD Wiki,"Gray Slaad is a CR 9, Chaotic Neutral, aberration, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Green Dragon Wyrmling,Medium dragon,Lawful Evil,17 (natural armor),38 (7d8 + 7),"30ft., fly 60ft., swim 30ft.",15,12,13,14,11,13,"Dex: +3, Con: +3, Wis: +2, Cha: +3","perception: +4, stealth: +3",None,None,poison,poisoned,"blindsight 10 ft., darkvision 60 ft., passive perception 14",Draconic,2,"
Amphibious: The dragon can breathe air and water.","
Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 3 (1d6) poison damage.
Poison Breath  - Recharge  5: The dragon exhales poisonous gas in a 15-foot cone. Each creature in that area must make a DC: 11 Constitution saving throw, taking 21 (6d6) poison damage on a failed save, or half as much damage on a successful one.",None,not in this JSON,Green Dragon Wyrmling - Monsters | DnD Wiki,"Green Dragon Wyrmling is a CR 2, Lawful Evil, dragon, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Green Hag,Medium fey,Neutral Evil,17 (natural armor),82 (11d8 + 33),30ft.,18,12,16,13,14,14,None,"arcana: +3, deception: +4, perception: +4, stealth: +3",None,None,None,None,"darkvision 60 ft., passive perception 14","Common, Draconic, Sylvan","{'cr': '3', 'coven': '5'}","
Amphibious: The hag can breathe air and water.
Mimicry: The hag can mimic animal sounds and humanoid voices. A creature that hears the sounds can tell they are imitations with a successful {@dc 14 Wisdom (Insight) check.
Hag Coven: When hags must work together, they form covens, in spite of their selfish natures. A coven is made up of hags of any type, all of whom are equals within the group. However, each of the hags continues to desire more personal power.
Hag Eye (Coven Only): A hag coven can craft a magic item called a hag eye, which is made from a real eye coated in varnish and often fitted to a pendant or other wearable item. The hag eye is usually entrusted to a minion for safekeeping and transport. A hag in the coven can take an action to see what the hag eye sees if the hag eye is on the same plane of existence. A hag eye has AC 10, 1 hit point, and darkvision with a radius of 60 feet. If it is destroyed, each coven member takes 3d10 psychic damage and is blinded for 24 hours.","
Claws: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage.
Illusory Appearance: The hag covers herself and anything she is wearing or carrying with a magical illusion that makes her look like another creature of her general size and humanoid shape. The illusion ends if the hag takes a bonus action to end it or if she dies.
Invisible Passage: The hag magically turns invisible until she attacks or casts a spell, or until her concentration ends (as if concentrating on a spell). While invisible, she leaves no physical evidence of her passage, so she can be tracked only by magic. Any equipment she wears or carries is invisible with her.",None,not in this JSON,Green Hag - Monsters | DnD Wiki,"Green Hag is a CR {'cr': '3', 'coven': '5'}, Neutral Evil, fey, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Green Slaad,Large aberration,Chaotic Neutral,16 (natural armor),127 (15d10 + 45),30ft.,18,15,16,11,8,12,None,"arcana: +3, perception: +2",None,"acid, cold, fire, lightning, thunder",None,None,"blindsight 30 ft., darkvision 60 ft., passive perception 12","Slaad, telepathy 60 ft.",8,"
Shapechanger: The slaad can use its action to polymorph into a Small or Medium humanoid, or back into its true form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its true form if it dies.
Magic Resistance: The slaad has advantage on saving throws against spells and other magical effects.
Regeneration: The slaad regains 10 hit points at the start of its turn if it has at least 1 hit point.","
Multiattack: The slaad makes three attacks: one with its bite and two with its claws or staff. Alternatively, it uses its Hurl Flame twice.
Bite (Slaad Form Only): Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage.
Claw (Slaad Form Only): Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) slashing damage.
Staff: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.
Hurl Flame: {@atk rs +4 to hit, range 60 ft., one target. Hit: 10 (3d6) fire damage. The fire ignites flammable objects that aren't being worn or carried.",None,not in this JSON,Green Slaad - Monsters | DnD Wiki,"Green Slaad is a CR 8, Chaotic Neutral, aberration, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Grell,Medium aberration,Neutral Evil,12,55 (10d8 + 10),"10ft., fly {'number': 30, 'condition': '(hover)'}ft.",15,14,13,12,11,9,None,"perception: +4, stealth: +6",None,None,lightning,"blinded, prone","blindsight 60 ft. (blind beyond this radius), passive perception 14",Grell,3,error,"
Multiattack: The grell makes two attacks: one with its tentacles and one with its beak.
Tentacles: Melee Weapon Attack: +4 to hit, reach 10 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target must succeed on a DC: 11 Constitution saving throw or be poisoned for 1 minute. The poisoned target is paralyzed, and it can repeat the saving throw at the end of each of its turns, ending the effect on a success.
Beak: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage.",None,not in this JSON,Grell - Monsters | DnD Wiki,"Grell is a CR 3, Neutral Evil, aberration, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Grick,Medium monstrosity,Neutral,14 (natural armor),27 (6d8),30ft.,14,14,11,3,14,5,None,None,None,"bludgeoning, piercing and slashing from nonmagical attacks",None,None,"darkvision 60 ft., passive perception 12",error,2,"
Stone Camouflage: The grick has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.","
Multiattack: The grick makes one attack with its tentacles. If that attack hits, the grick can make one beak attack against the same target.
Tentacles: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.
Beak: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",None,not in this JSON,Grick - Monsters | DnD Wiki,"Grick is a CR 2, Neutral, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
Grick Alpha,Large monstrosity,Neutral,18 (natural armor),75 (10d10 + 20),30ft.,18,16,15,4,14,9,None,None,None,"bludgeoning, piercing and slashing from nonmagical attacks",None,None,"darkvision 60 ft., passive perception 12",error,7,"
Stone Camouflage: The grick has advantage on Dexterity (Stealth) checks made to hide in rocky terrain.","
Multiattack: The grick makes two attacks: one with its tail and one with its tentacles. If it hits with its tentacles, the grick can make one beak attack against the same target.
Tail: Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.
Tentacles: Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 22 (4d8 + 4) slashing damage.
Beak: Melee Weapon Attack: +7 to hit, reach 10 ft., one target. Hit: 13 (2d8 + 4) piercing damage.",None,not in this JSON,Grick Alpha - Monsters | DnD Wiki,"Grick Alpha is a CR 7, Neutral, monstrosity, in Dungeons and Dragons 5th Edition (D&D 5e)",bestiary-mm.json
